bound_type,strain,ko,media,time_point,id,lb,ub
log_concentration,0,GLCptspp,Glc,0,23dpg,-7.860059186908345,-7.4244626828947995
log_concentration,0,GLCptspp,Glc,0,6pgc,-8.785181446184826,-8.248012800065563
log_concentration,0,GLCptspp,Glc,0,Lcystin,-9.20686825059258,-8.559318747524241
log_concentration,0,GLCptspp,Glc,0,Pool_2pg_3pg,-6.367578341037589,-5.712818634769432
log_concentration,0,GLCptspp,Glc,0,accoa,-8.114400082728023,-7.619540064025727
log_concentration,0,GLCptspp,Glc,0,acon-C,-7.678601577198281,-6.798146117395989
log_concentration,0,GLCptspp,Glc,0,ade,-11.073487422851358,-10.529618684316068
log_concentration,0,GLCptspp,Glc,0,adn,-12.264220879223206,-11.514707232055304
log_concentration,0,GLCptspp,Glc,0,adp,-8.118040324851167,-7.784101648151845
log_concentration,0,GLCptspp,Glc,0,adpglc,-13.984463542570198,-12.252267717331605
log_concentration,0,GLCptspp,Glc,0,akg,-8.719070413393036,-7.834012569664038
log_concentration,0,GLCptspp,Glc,0,ala-L,-6.207769944252692,-4.5700138865246345
log_concentration,0,GLCptspp,Glc,0,amp,-8.93143415348,-8.407023587275765
log_concentration,0,GLCptspp,Glc,0,arg-L,-9.292026908480162,-8.669252968183784
log_concentration,0,GLCptspp,Glc,0,asn-L,-7.75342038961677,-6.905272297809812
log_concentration,0,GLCptspp,Glc,0,atp,-6.6909673958585385,-6.395013513230395
log_concentration,0,GLCptspp,Glc,0,camp,-10.60689052969586,-10.043673241788463
log_concentration,0,GLCptspp,Glc,0,chor,-3.3073919039460002,-2.250967465896321
log_concentration,0,GLCptspp,Glc,0,cit,-11.896848286918399,-11.347196190568656
log_concentration,0,GLCptspp,Glc,0,citr-L,-10.277349970481483,-8.932417568862794
log_concentration,0,GLCptspp,Glc,0,cmp,-9.507181931251784,-8.808460176320992
log_concentration,0,GLCptspp,Glc,0,coa,-7.510679435892779,-7.113215839218238
log_concentration,0,GLCptspp,Glc,0,ctp,-11.115302037689732,-9.846945617254924
log_concentration,0,GLCptspp,Glc,0,dadp,-10.846801980050468,-10.603422967871342
log_concentration,0,GLCptspp,Glc,0,damp,-11.979716739501223,-11.393242773052616
log_concentration,0,GLCptspp,Glc,0,datp,-9.866328396958359,-9.47846555294094
log_concentration,0,GLCptspp,Glc,0,dcdp,-10.541847946835789,-10.069623149564354
log_concentration,0,GLCptspp,Glc,0,dcmp,-12.279897420792233,-11.3675371972155
log_concentration,0,GLCptspp,Glc,0,dctp,-9.984063038008694,-9.501933341978658
log_concentration,0,GLCptspp,Glc,0,dhap,-7.1461777400351565,-6.243293104319707
log_concentration,0,GLCptspp,Glc,0,dimp,-14.052011717800342,-13.260361888798014
log_concentration,0,GLCptspp,Glc,0,dtdpglu,-13.401177414419212,-12.834082880799413
log_concentration,0,GLCptspp,Glc,0,dtmp,-9.309526025950303,-8.781324522556595
log_concentration,0,GLCptspp,Glc,0,dttp,-8.537905031546586,-8.072808649825765
log_concentration,0,GLCptspp,Glc,0,dump,-11.835537477053434,-11.232720268798309
log_concentration,0,GLCptspp,Glc,0,dutp,-13.283142648038291,-12.733490551688547
log_concentration,0,GLCptspp,Glc,0,f6p,-7.928150959137018,-6.747114656084299
log_concentration,0,GLCptspp,Glc,0,fad,-9.899988490729777,-9.308996419002522
log_concentration,0,GLCptspp,Glc,0,fdp,-6.798393747107458,-5.658231278396709
log_concentration,0,GLCptspp,Glc,0,fum,-6.889689997770692,-6.129444233448774
log_concentration,0,GLCptspp,Glc,0,g1p,-7.765162049065978,-6.8727493469991865
log_concentration,0,GLCptspp,Glc,0,g6p,-6.087127634605599,-5.62158850159176
log_concentration,0,GLCptspp,Glc,0,gam6p,-7.467989036752465,-6.785205027308488
log_concentration,0,GLCptspp,Glc,0,gdp,-9.506601592859466,-9.117294350507535
log_concentration,0,GLCptspp,Glc,0,gln-L,-6.066411004452418,-4.895950093400883
log_concentration,0,GLCptspp,Glc,0,glu-L,-4.0663078028814565,-3.501521057748101
log_concentration,0,GLCptspp,Glc,0,glutacon,-3.8943670864192836,-3.216207304666076
log_concentration,0,GLCptspp,Glc,0,glx,-4.1835634384388465,-3.290261379696103
log_concentration,0,GLCptspp,Glc,0,glyc3p,-7.916104318500402,-7.066235282199163
log_concentration,0,GLCptspp,Glc,0,glyclt,-8.207030618065588,-7.485820371244194
log_concentration,0,GLCptspp,Glc,0,gmp,-9.293197132352143,-8.27894343714813
log_concentration,0,GLCptspp,Glc,0,gthox,-7.504268744756851,-6.834115686970553
log_concentration,0,GLCptspp,Glc,0,gthrd,-5.9479500796866125,-5.217353866208919
log_concentration,0,GLCptspp,Glc,0,gtp,-8.462562274813457,-7.8589214769391695
log_concentration,0,GLCptspp,Glc,0,gua,-12.752489220822454,-11.889876173880669
log_concentration,0,GLCptspp,Glc,0,his-L,-7.770274223340195,-6.942452351370507
log_concentration,0,GLCptspp,Glc,0,hxan,-12.715763926932759,-11.955505103631953
log_concentration,0,GLCptspp,Glc,0,imp,-10.587558668389534,-9.663834358711664
log_concentration,0,GLCptspp,Glc,0,ins,-13.654064192135849,-12.883241265137254
log_concentration,0,GLCptspp,Glc,0,itp,-14.12192896791049,-12.97829143920865
log_concentration,0,GLCptspp,Glc,0,lac-D,-7.345119593939906,-6.665271031782342
log_concentration,0,GLCptspp,Glc,0,mal-L,-6.9933327283335265,-6.462338776951805
log_concentration,0,GLCptspp,Glc,0,met-L,-10.421164277576727,-9.333169870985191
log_concentration,0,GLCptspp,Glc,0,mmal,-10.66202106371407,-9.81907051037625
log_concentration,0,GLCptspp,Glc,0,nad,-7.0740883486466695,-6.4958959353538335
